Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27109816,01/09/2014 12:00:00 AM,03/18/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Animal Odor,11249,Closed
27128023,01/11/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11218,Closed
27295771,01/30/2014 03:49:00 PM,02/01/2014 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3A Dirty Area/Alleyway,10303,Closed
27267092,01/27/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10036,Closed
27251198,01/24/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10463,Closed
27195341,01/20/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10030,Closed
27255810,01/26/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11203,Closed
27208620,01/21/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10456,Closed
27277630,01/27/2014 05:58:12 PM,01/28/2014 08:10:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11235,Closed
27240996,01/24/2014 02:04:00 AM,01/24/2014 03:40:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11204,Closed
27178227,01/17/2014 05:46:00 PM,02/01/2014 12:00:00 PM,DSNY,A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,11230,Closed
27032195,01/02/2014 12:07:08 PM,01/02/2014 01:35:03 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11204,Closed
27077466,01/07/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10453,Closed
27135051,01/12/2014 03:14:08 PM,01/13/2014 09:46:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11423,Closed
27137900,01/13/2014 10:02:00 AM,01/13/2014 12:35:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),11419,Closed
27077171,01/07/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11210,Closed
27055631,01/04/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10458,Closed
27085633,01/07/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10032,Closed
27257250,01/25/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27125662,01/11/2014 11:36:00 PM,01/13/2014 12:50:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",11229,Closed
27146404,01/14/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,10458,Closed
27247249,01/25/2014 06:42:38 PM,01/25/2014 09:16:23 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11212,Closed
27203711,01/21/2014 08:57:00 AM,01/25/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Missed Collection (All Materials),1 Missed Collection,11204,Closed
27043380,01/03/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10026,Closed
27120057,01/10/2014 12:00:00 AM,03/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11413,Closed
27301290,01/31/2014 12:00:00 AM,02/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,SEWER,10303,Closed
27075317,01/06/2014 03:53:06 PM,01/08/2014 12:00:00 AM,DOB,Department of Buildings,Special Enforcement,SEP - Professional Certification Compliance Audit,10455,Closed
27147872,01/14/2014 05:09:05 PM,01/23/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,10312,Closed
